day,time,Alog_in0,Alog_in1,Alog_in2,Alog_in3,Alog_in4,Alog_in5,Alog_in6,Alog_in7
2024:12:11,16:4:23,,,,,,,,
2024:12:11,16:4:24,,,,,,,,
2024:12:11,16:4:25,,,,,,,,
2024:12:11,16:4:26,,,,,,,,
2024:12:11,16:4:27,,,,,,,,
2024:12:11,16:4:28,,,,,,,,
2024:12:11,16:4:29,,,,,,,,
2024:12:11,16:4:30,,,,,,,,
2024:12:11,16:4:31,,,,,,,,
2024:12:11,16:4:32,,,,,,,,
2024:12:11,16:4:33,,,,,,,,
2024:12:11,16:4:34,,,,,,,,
2024:12:11,16:4:35,,,,,,,,
2024:12:11,16:4:36,,,,,,,,
2024:12:11,16:4:37,,,,,,,,
2024:12:11,16:4:38,,,,,,,,
2024:12:11,16:4:39,,,,,,,,
2024:12:11,16:4:40,,,,,,,,
2024:12:11,16:4:41,,,,,,,,
2024:12:11,16:4:42,,,,,,,,
2024:12:11,16:4:43,,,,,,,,
2024:12:11,16:4:44,,,,,,,,
2024:12:11,16:4:45,,,,,,,,
2024:12:11,16:4:46,,,,,,,,
2024:12:11,16:4:47,,,,,,,,
2024:12:11,16:4:48,,,,,,,,
2024:12:11,16:4:49,,,,,,,,
2024:12:11,16:4:50,,,,,,,,
2024:12:11,16:4:51,,,,,,,,
2024:12:11,16:4:52,,,,,,,,
2024:12:11,16:4:53,,,,,,,,
2024:12:11,16:4:54,,,,,,,,
2024:12:11,16:4:55,,,,,,,,
2024:12:11,16:4:56,,,,,,,,
2024:12:11,16:4:57,,,,,,,,
2024:12:11,16:4:58,,,,,,,,
2024:12:11,16:4:59,,,,,,,,
2024:12:11,16:5:0,,,,,,,,
2024:12:11,16:5:1,,,,,,,,
2024:12:11,16:5:2,,,,,,,,
2024:12:11,16:5:3,,,,,,,,
2024:12:11,16:5:4,,,,,,,,
2024:12:11,16:5:5,,,,,,,,
2024:12:11,16:5:6,,,,,,,,
2024:12:11,16:5:7,,,,,,,,
2024:12:11,16:5:8,,,,,,,,
2024:12:11,16:5:9,,,,,,,,
2024:12:11,16:5:10,,,,,,,,
2024:12:11,16:5:11,,,,,,,,
2024:12:11,16:5:12,,,,,,,,
2024:12:11,16:5:13,,,,,,,,
2024:12:11,16:5:14,,,,,,,,
2024:12:11,16:5:15,,,,,,,,
2024:12:11,16:5:16,,,,,,,,
2024:12:11,16:5:17,,,,,,,,
2024:12:11,16:5:18,,,,,,,,
2024:12:11,16:5:19,,,,,,,,
2024:12:11,16:5:20,,,,,,,,
2024:12:11,16:5:21,,,,,,,,
2024:12:11,16:5:22,,,,,,,,
2024:12:11,16:5:23,,,,,,,,
2024:12:11,16:5:24,,,,,,,,
2024:12:11,16:5:25,,,,,,,,
2024:12:11,16:5:26,,,,,,,,
2024:12:11,16:5:27,,,,,,,,
2024:12:11,16:5:28,,,,,,,,
2024:12:11,16:5:29,,,,,,,,
2024:12:11,16:5:30,,,,,,,,
2024:12:11,16:5:31,,,,,,,,
2024:12:11,16:5:32,,,,,,,,
2024:12:11,16:5:33,,,,,,,,
2024:12:11,16:5:35,,,,,,,,
2024:12:11,16:5:36,,,,,,,,
2024:12:11,16:5:37,,,,,,,,
2024:12:11,16:5:38,,,,,,,,
2024:12:11,16:5:39,,,,,,,,
2024:12:11,16:5:40,,,,,,,,
2024:12:11,16:5:41,,,,,,,,
2024:12:11,16:5:42,,,,,,,,
2024:12:11,16:5:43,,,,,,,,
2024:12:11,16:5:44,,,,,,,,
2024:12:11,16:5:45,,,,,,,,
2024:12:11,16:5:46,,,,,,,,
2024:12:11,16:5:47,,,,,,,,
2024:12:11,16:5:48,,,,,,,,
2024:12:11,16:5:49,,,,,,,,
2024:12:11,16:5:50,,,,,,,,
2024:12:11,16:5:51,,,,,,,,
2024:12:11,16:5:52,,,,,,,,
2024:12:11,16:5:53,,,,,,,,
2024:12:11,16:5:54,,,,,,,,
2024:12:11,16:5:55,,,,,,,,
2024:12:11,16:5:56,,,,,,,,
2024:12:11,16:5:57,,,,,,,,
2024:12:11,16:5:58,,,,,,,,
2024:12:11,16:5:59,,,,,,,,
2024:12:11,16:6:0,,,,,,,,
2024:12:11,16:6:1,,,,,,,,
2024:12:11,16:6:2,,,,,,,,
2024:12:11,16:6:3,,,,,,,,
2024:12:11,16:6:4,,,,,,,,
2024:12:11,16:6:5,,,,,,,,
2024:12:11,16:6:6,,,,,,,,
2024:12:11,16:6:7,,,,,,,,
2024:12:11,16:6:8,,,,,,,,
2024:12:11,16:6:9,,,,,,,,
2024:12:11,16:6:10,,,,,,,,
2024:12:11,16:6:11,,,,,,,,
2024:12:11,16:6:12,,,,,,,,
2024:12:11,16:6:13,,,,,,,,
2024:12:11,16:6:14,,,,,,,,
2024:12:11,16:6:15,,,,,,,,
2024:12:11,16:6:16,,,,,,,,
2024:12:11,16:6:17,,,,,,,,
2024:12:11,16:6:18,,,,,,,,
2024:12:11,16:6:19,,,,,,,,
2024:12:11,16:6:20,,,,,,,,
2024:12:11,16:6:21,,,,,,,,
2024:12:11,16:6:22,,,,,,,,
2024:12:11,16:6:23,,,,,,,,
2024:12:11,16:6:24,,,,,,,,
2024:12:11,16:6:25,,,,,,,,
2024:12:11,16:6:26,,,,,,,,
2024:12:11,16:6:27,,,,,,,,
2024:12:11,16:6:28,,,,,,,,
2024:12:11,16:6:29,,,,,,,,
2024:12:11,16:6:30,,,,,,,,
2024:12:11,16:6:31,,,,,,,,
2024:12:11,16:6:32,,,,,,,,
2024:12:11,16:6:33,,,,,,,,
2024:12:11,16:6:34,,,,,,,,
2024:12:11,16:6:35,,,,,,,,
2024:12:11,16:6:36,,,,,,,,
2024:12:11,16:6:37,,,,,,,,
2024:12:11,16:6:38,,,,,,,,
2024:12:11,16:6:39,,,,,,,,
2024:12:11,16:6:40,,,,,,,,
2024:12:11,16:6:41,,,,,,,,
2024:12:11,16:6:42,,,,,,,,
2024:12:11,16:6:43,,,,,,,,
2024:12:11,16:6:44,,,,,,,,
2024:12:11,16:6:45,,,,,,,,
2024:12:11,16:6:46,,,,,,,,
2024:12:11,16:6:47,,,,,,,,
2024:12:11,16:6:48,,,,,,,,
2024:12:11,16:6:49,,,,,,,,
2024:12:11,16:6:50,,,,,,,,
2024:12:11,16:6:51,,,,,,,,
2024:12:11,16:6:52,,,,,,,,
2024:12:11,16:6:53,,,,,,,,
2024:12:11,16:6:54,,,,,,,,
2024:12:11,16:6:55,,,,,,,,
2024:12:11,16:6:56,,,,,,,,
2024:12:11,16:6:57,,,,,,,,
2024:12:11,16:6:58,,,,,,,,
2024:12:11,16:6:59,,,,,,,,
2024:12:11,16:7:0,,,,,,,,
2024:12:11,16:7:1,,,,,,,,
2024:12:11,16:7:2,,,,,,,,
2024:12:11,16:7:3,,,,,,,,
2024:12:11,16:7:4,,,,,,,,
2024:12:11,16:7:5,,,,,,,,
2024:12:11,16:7:6,,,,,,,,
2024:12:11,16:7:7,,,,,,,,
2024:12:11,16:7:8,,,,,,,,
2024:12:11,16:7:9,,,,,,,,
2024:12:11,16:7:10,,,,,,,,
2024:12:11,16:7:11,,,,,,,,
2024:12:11,16:7:12,,,,,,,,
2024:12:11,16:7:13,,,,,,,,
2024:12:11,16:7:14,,,,,,,,
2024:12:11,16:7:15,,,,,,,,
2024:12:11,16:7:16,,,,,,,,
2024:12:11,16:7:17,,,,,,,,
